district	amt	amt_ratio	contracts	cont_ratio	avg_fundingDuration	fundingDurationRatio
4809	968407.39	0.0025	16	0.031	46	0.0252
2604	-39127.0	0.0017	1	0.0019	0	0.0
2606	229166.34	0.0019	6	0.0116	183	0.1003
2607	6795.0	0.0017	1	0.0019	0	0.0
2601	1419037.81	0.0029	17	0.0329	472	0.2586
2602	74563.68	0.0018	5	0.0097	0	0.0
2603	46875.91	0.0018	1	0.0019	0	0.0
2608	844297.58	0.0024	14	0.0271	310	0.1699
2609	170742.75	0.0019	3	0.0058	0	0.0
3501	7461602.06	0.0079	28	0.0543	148	0.0811
3502	2744328.55	0.004	21	0.0407	131	0.0718
3503	4981151.58	0.0059	19	0.0368	1	0.0005
3603	658776.23	0.0023	23	0.0446	0	0.0
3602	254865.13	0.0019	14	0.0271	0	0.0
3601	2074480.63	0.0035	18	0.0349	387	0.2121
3605	864505.53	0.0024	5	0.0097	38	0.0208
3604	5830.18	0.0017	4	0.0078	0	0.0
3609	-1518.19	0.0017	1	0.0019	0	0.0
3608	6752.55	0.0017	1	0.0019	0	0.0
4600	2008823.0	0.0034	9	0.0174	910	0.4986
622	4968.0	0.0017	2	0.0039	0	0.0
605	8241584.38	0.0086	42	0.0814	1317	0.7216
604	1243374.38	0.0028	21	0.0407	0	0.0
607	24231.74	0.0017	3	0.0058	0	0.0
606	22052.17	0.0017	3	0.0058	0	0.0
1209	64753563.44	0.0556	10	0.0194	36	0.0197
1208	47553123.45	0.0413	181	0.3508	34	0.0186
603	854476.94	0.0024	13	0.0252	276	0.1512
631	454419.28	0.0021	4	0.0078	0	0.0
1205	2059624.2	0.0034	9	0.0174	0	0.0
1204	38820642.57	0.034	23	0.0446	0	0.0
1207	5498638.03	0.0063	31	0.0601	172	0.0942
1206	354792.59	0.002	5	0.0097	447	0.2449
1201	24866915.65	0.0224	66	0.1279	41	0.0225
1210	421483.0	0.0021	2	0.0039	0	0.0
1203	2605723.33	0.0039	20	0.0388	422	0.2312
1202	4418480.34	0.0054	15	0.0291	415	0.2274
1211	46661.36	0.0018	3	0.0058	0	0.0
1216	38382.89	0.0018	3	0.0058	0	0.0
1217	4125.0	0.0017	1	0.0019	0	0.0
1215	1906044.9	0.0033	16	0.031	408	0.2236
3101	933358.83	0.0025	5	0.0097	145	0.0795
